snapshot	board_exact	non_empty_accuracy	macro_f1	move_recall	false_change_rate	status	description
autoresearch/snapshots/20260419T001711Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep2_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v318.py	0.037870	0.751899	0.707501	0.328125	0.028461	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the kept beam8 + props16 + top2 branch after top1 matched it, top3 was worse, boardcands3 snapped it toward the older v120-style tradeoff, boardcands1 was harmful, boardcands4 was worse, and the per-added-move gate stayed safe down to 93.75 before breaking at 87.5, and widening only the segmental event window radius from 0 to 1 on that active beam8 regime to test whether slightly broader temporal aggregation can recover ambiguity cases without collapsing the branch's lower false-change behavior.
autoresearch/snapshots/20260419T001902Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep2_secondarysep1_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v319.py	0.037870	0.750814	0.709216	0.312500	0.027167	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the active beam8 + props16 + top2 branch after top1 matched it, top3 was worse, boardcands3 snapped it toward the older v120-style tradeoff, boardcands1 was harmful, boardcands4 was worse, the per-added-move gate stayed safe down to 93.75 before breaking at 87.5, and v318 showed event_window_radius=1 collapsed quality and runtime, and restoring the active r0 regime while lowering only secondary event separation from 2 to 1 to test whether denser nearby temporal alternatives can recover ambiguity cases without reopening the broader-window failure mode.
autoresearch/snapshots/20260419T002239Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio90_props16_top2_detect10_minsep2_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v320.py	0.037870	0.751899	0.707501	0.328125	0.028461	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the beam8 + props16 + top2 branch after top1 matched it, top3 was worse, boardcands3 snapped it toward the older v120-style tradeoff, boardcands1 was harmful, boardcands4 was worse, the per-added-move gate stayed safe down to 93.75 before breaking at 87.5, v318 showed event_window_radius=1 collapsed quality and runtime, v319 showed secondarysep1 also regressed, and restoring the active r0 setup while lowering only the secondary peak ratio from 0.95 to 0.90 to test whether admitting slightly weaker nearby temporal alternatives can recover ambiguity cases without reopening the broader-window or denser-secondary failure modes.
autoresearch/snapshots/20260419T002425Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep2_secondarysep3_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v321.py	0.037870	0.751899	0.707501	0.328125	0.028461	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the beam8 + props16 + top2 branch after top1 matched it, top3 was worse, boardcands3 snapped it toward the older v120-style tradeoff, boardcands1 was harmful, boardcands4 was worse, the per-added-move gate stayed safe down to 93.75 before breaking at 87.5, v318 showed event_window_radius=1 collapsed quality and runtime, v319 showed secondarysep1 also regressed, v320 showed ratio90 was a no-op, and restoring the active r0 setup while raising only secondary event separation from 2 to 3 to test whether sparser nearby temporal alternatives help beam8 avoid the recent ambiguity-collapse regime without widening the search again.
autoresearch/snapshots/20260419T002613Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v322.py	0.071006	0.748902	0.699047	0.296875	0.023286	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the current kept beam8 + props16 + top2 + r1 surface after recent r0-side probes with secondarysep1, ratio90, and secondarysep3 all failed to improve it, and raising only the primary min event separation from 2 to 3 on that active branch to test whether slightly sparser primary temporal proposals can recover precision and runtime without giving up the ambiguity coverage that made the wider r1 surface stick.
autoresearch/snapshots/20260419T002730Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v323.py	0.071006	0.748902	0.699047	0.296875	0.023286	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 + r1 surface after recent r0-side probes at minsep2 all failed and minsep3 under r1 finally improved board_exact and false-change together, and restoring only the event-window radius from 1 to 0 on that active minsep3 branch to test whether the gain came mainly from sparser primary temporal proposals or still depends on the wider temporal aggregation window.
autoresearch/snapshots/20260419T002854Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top1_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v324.py	0.071006	0.748902	0.699047	0.296875	0.023286	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 branch after minsep3 improved board_exact and false-change together over the earlier beam8 regime and restoring r0 proved to be an exact no-op, and lowering only top-move breadth from 2 to 1 on that active surface to test whether the improved minsep3 branch remains top1/top2-insensitive like the older beam8 branch or still depends on two move candidates.
autoresearch/snapshots/20260419T003040Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top3_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v325.py	0.071006	0.764457	0.716697	0.296875	0.024580	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + minsep3 + r1 branch after restoring r0 proved to be an exact no-op and lowering move breadth to top1 also proved to be an exact no-op, and widening only top-move breadth from 2 to 3 on that active surface to test whether the minsep3 improvement preserves the old beam8 top1/top2-versus-top3 move-menu cliff or opens a broader stable move-search regime.
autoresearch/snapshots/20260419T003157Z_hybrid_lookahead_segmental_drop1_boardcands3_ratio95_props16_top2_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v326.py	0.071006	0.762803	0.722696	0.296875	0.023286	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 + r1 branch after restoring r0 proved to be an exact no-op, lowering move breadth to top1 also proved to be an exact no-op, widening move breadth to top3 shifted only secondary metrics, and older beam8 + minsep2 boardcands3 snapped back toward the v120-style tradeoff, and widening only board-state breadth from 2 to 3 on the active minsep3 surface to test whether the minsep3 improvement also changes the old beam8 board-width cliff or still collapses under broader board search.
autoresearch/snapshots/20260419T003341Z_hybrid_lookahead_segmental_drop1_boardcands1_ratio95_props16_top2_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v327.py	0.071006	0.758462	0.714356	0.281250	0.021992	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 + r1 branch after restoring r0 proved to be an exact no-op, top1 was also an exact no-op, top3 shifted only secondary metrics, and boardcands3 now preserved the improved board_exact and false-change instead of collapsing to the older v120-style tradeoff, and narrowing only board-state breadth from 2 to 1 on that active minsep3 surface to test whether minsep3 changed the whole beam8 board-width cliff or only the broader-board side.
autoresearch/snapshots/20260419T003524Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top4_detect10_minsep3_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v328.py	0.071006	0.764457	0.716697	0.296875	0.024580	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 + r1 branch after restoring r0 proved to be an exact no-op, top1 was also an exact no-op, top3 preserved board_exact while shifting only secondary metrics, and board-width probes at 1 and 3 likewise preserved the improved board_exact surface, and widening only top-move breadth from 2 to 4 on that active branch to test whether the minsep3 improvement opens a broader top3+ move-menu plateau or whether the shift seen at top3 is still a narrow boundary effect.
autoresearch/snapshots/20260419T003700Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r1_beam8_v329.py	0.074556	0.750504	0.699534	0.312500	0.019405	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep3 + r1 branch after restoring r0 proved to be an exact no-op, top1 was also an exact no-op, top3 plus top4 only shifted secondary metrics, and board-width probes at 1 and 3 preserved the improved board-exact surface, and raising only primary min event separation from 3 to 4 on that active branch to test whether the new minsep3 gain extends into an even sparser temporal-proposal regime or already sits on the useful side of a new cliff.
autoresearch/snapshots/20260419T003821Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v330.py	0.074556	0.750504	0.699534	0.312500	0.019405	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep4 + r1 branch after minsep4 improved both board_exact and false-change over the earlier minsep3 surface while staying within runtime budget, minsep3 had already shown r0 was an exact no-op, and changing only the event-window radius from 1 back to 0 on the active minsep4 branch to test whether the new gain truly depends on the wider temporal aggregation window or whether the cleaner minsep4 regime now survives on the cheaper r0 surface too.
autoresearch/snapshots/20260419T003946Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top2_detect10_minsep5_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v331.py	0.048521	0.762338	0.720145	0.328125	0.024580	discard	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep4 + r0 branch after minsep4 improved both board_exact and false-change over the earlier minsep3 surface and r0 proved to be an exact no-op against the r1 version, and raising only primary min event separation from 4 to 5 on that active branch to test whether the new gain extends into an even sparser primary-temporal regime or whether minsep4 already sits at the useful edge of the beam8 improvement.
autoresearch/snapshots/20260419T004109Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top1_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v332.py	0.074556	0.750504	0.699534	0.312500	0.019405	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top2 + minsep4 + r0 branch after minsep4 improved both board_exact and false-change over the earlier minsep3 surface, restoring r0 from the paired r1 run was an exact no-op, and pushing minsep5 broke the gain, and lowering only top-move breadth from 2 to 1 on that active branch to test whether the improved minsep4 regime keeps the older beam8 top1/top2 equivalence while hopefully trimming runtime back toward budget.
autoresearch/snapshots/20260419T004214Z_hybrid_lookahead_segmental_drop1_boardcands2_ratio95_props16_top3_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v333.py	0.074556	0.766059	0.717192	0.312500	0.020699	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + top1/top2 + minsep4 + r0 branch after minsep4 improved both board_exact and false-change over the earlier minsep3 surface, restoring r0 from the paired r1 run was an exact no-op, pushing minsep5 broke the gain, and top1 again matched top2 while trimming runtime, and widening only top-move breadth from that active top1/top2 surface to 3 to test whether the minsep4 improvement preserves the old beam8 top1/top2-versus-top3 cliff or opens a broader stable move-search regime at the better minsep4 setting.
autoresearch/snapshots/20260419T004353Z_hybrid_lookahead_segmental_drop1_boardcands3_ratio95_props16_top1_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v334.py	0.074556	0.764405	0.723227	0.312500	0.019405	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + minsep4 + r0 branch after top1 again matched top2 exactly, top3 opened a higher-cost secondary-metric tradeoff, and minsep5 broke the gain, and restoring the cheaper top1-equivalent surface while widening only board-state breadth from 2 to 3 to test whether the minsep4 improvement also preserves the broader-board secondary-metric lift seen on the minsep3 branch without giving back its better board_exact and false-change tradeoff.
autoresearch/snapshots/20260419T004459Z_hybrid_lookahead_segmental_drop1_boardcands1_ratio95_props16_top1_detect10_minsep4_thresh3_total150_permove125_m9p8957061767578125_r0_beam8_v335.py	0.074556	0.757790	0.713578	0.312500	0.019405	keep	Hybrid decoder keeps the baseline lookahead path unless a conservative board-only segmental pass wins the current score-gain gates, while following up the new kept beam8 + props16 + minsep4 + r0 branch after top1 again matched top2 exactly, top3 opened a higher-cost secondary-metric tradeoff, minsep5 broke the gain, and boardcands3 preserved the improved board_exact and false-change while lifting secondary metrics, and narrowing only board-state breadth from that active top1 surface down to 1 to test whether the minsep4 improvement changed the whole beam8 board-width cliff or only opened the broader-board side.
